material,cell source,cell tissue,time (hr),test,test indicator,viability (%),Hydrodynamic diameter (nm),Cell type,Molecular weight (g/mol),AR,IR,X,E,pot
3,4.0,14.0,24.0,22.0,15.0,78.24,20.0,59.0,208.9804,,,,,
3,4.0,14.0,24.0,22.0,15.0,48.533,20.0,59.0,208.9804,,,,,
3,4.0,7.0,24.0,22.0,15.0,93.651,20.0,84.0,208.9804,,,,,
3,4.0,7.0,24.0,22.0,15.0,83.73,20.0,84.0,208.9804,,,,,
3,4.0,7.0,24.0,22.0,15.0,71.825,20.0,84.0,208.9804,,,,,
3,4.0,14.0,24.0,20.0,4.0,99.383,20.0,59.0,208.9804,,,,,
3,4.0,14.0,24.0,20.0,4.0,83.951,20.0,59.0,208.9804,,,,,
3,4.0,14.0,24.0,20.0,4.0,59.506,20.0,59.0,208.9804,,,,,
3,4.0,7.0,24.0,20.0,4.0,98.511,20.0,84.0,208.9804,,,,,
3,4.0,7.0,24.0,20.0,4.0,94.169,20.0,84.0,208.9804,,,,,
3,4.0,7.0,24.0,20.0,4.0,77.171,20.0,84.0,208.9804,,,,,
3,4.0,14.0,24.0,22.0,15.0,99.389,20.0,59.0,208.9804,,,,,
3,4.0,14.0,24.0,22.0,15.0,92.176,20.0,59.0,208.9804,,,,,
3,4.0,14.0,24.0,22.0,15.0,63.692,20.0,59.0,208.9804,,,,,
3,4.0,7.0,24.0,22.0,15.0,98.28,20.0,84.0,208.9804,,,,,
3,4.0,7.0,24.0,22.0,15.0,93.519,20.0,84.0,208.9804,,,,,
3,4.0,7.0,24.0,22.0,15.0,75.529,20.0,84.0,208.9804,,,,,
3,4.0,14.0,24.0,20.0,4.0,98.395,20.0,59.0,208.9804,,,,,
3,4.0,14.0,24.0,20.0,4.0,87.778,20.0,59.0,208.9804,,,,,
3,4.0,14.0,24.0,20.0,4.0,66.667,20.0,59.0,208.9804,,,,,
3,4.0,7.0,24.0,20.0,4.0,98.387,20.0,84.0,208.9804,,,,,
3,4.0,7.0,24.0,20.0,4.0,91.935,20.0,84.0,208.9804,,,,,
3,4.0,7.0,24.0,20.0,4.0,78.164,20.0,84.0,208.9804,,,,,
3,4.0,14.0,24.0,22.0,15.0,96.21,20.0,59.0,208.9804,,,,,
3,4.0,14.0,24.0,22.0,15.0,88.875,20.0,59.0,208.9804,,,,,
3,4.0,14.0,24.0,22.0,15.0,72.983,20.0,59.0,208.9804,,,,,
3,4.0,7.0,24.0,22.0,15.0,97.354,20.0,84.0,208.9804,,,,,
3,4.0,7.0,24.0,22.0,15.0,92.063,20.0,84.0,208.9804,,,,,
3,4.0,7.0,24.0,22.0,15.0,78.175,20.0,84.0,208.9804,,,,,
3,4.0,14.0,12.0,20.0,4.0,90.617,20.0,59.0,208.9804,,,,,
3,4.0,14.0,24.0,20.0,4.0,75.802,20.0,59.0,208.9804,,,,,
3,4.0,14.0,48.0,20.0,4.0,55.556,20.0,59.0,208.9804,,,,,
3,4.0,14.0,72.0,20.0,4.0,34.568,20.0,59.0,208.9804,,,,,
3,4.0,14.0,96.0,20.0,4.0,22.963,20.0,59.0,208.9804,,,,,
3,4.0,7.0,12.0,20.0,4.0,93.223,20.0,84.0,208.9804,,,,,
3,4.0,7.0,24.0,20.0,4.0,87.414,20.0,84.0,208.9804,,,,,
3,4.0,7.0,48.0,20.0,4.0,71.369,20.0,84.0,208.9804,,,,,
3,4.0,7.0,72.0,20.0,4.0,54.633,20.0,84.0,208.9804,,,,,
3,4.0,7.0,96.0,20.0,4.0,45.92,20.0,84.0,208.9804,,,,,
3,4.0,14.0,12.0,20.0,4.0,91.111,20.0,59.0,208.9804,,,,,
3,4.0,14.0,24.0,20.0,4.0,69.63,20.0,59.0,208.9804,,,,,
3,4.0,14.0,48.0,20.0,4.0,48.519,20.0,59.0,208.9804,,,,,
3,4.0,14.0,72.0,20.0,4.0,22.346,20.0,59.0,208.9804,,,,,
3,4.0,14.0,96.0,20.0,4.0,5.8025,20.0,59.0,208.9804,,,,,
3,4.0,7.0,12.0,20.0,4.0,92.531,20.0,84.0,208.9804,,,,,
3,4.0,7.0,24.0,20.0,4.0,82.434,20.0,84.0,208.9804,,,,,
3,4.0,7.0,48.0,20.0,4.0,69.848,20.0,84.0,208.9804,,,,,
